t,victim_label,victim_char,attacker_truth_label,attacker_truth_char,proof_mode,victim_gate020_hex,dword_00,dword_01,dword_02,dword_03,dword_04,dword_05,dword_06,dword_07,dword_08,dword_09,dword_10,dword_11,dword_12,dword_13,dword_14,dword_15,lowbyte_00,lowbyte_01,lowbyte_02,lowbyte_03,lowbyte_04,lowbyte_05,lowbyte_06,lowbyte_07,lowbyte_08,lowbyte_09,lowbyte_10,lowbyte_11,lowbyte_12,lowbyte_13,lowbyte_14,lowbyte_15
1760462407.034217,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F46000,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462407.126860,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F46500,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462407.209164,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F46A00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462407.289913,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F46F00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462407.370538,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F47400,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462407.451789,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F47900,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462407.535680,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F47E00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462407.622352,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F48300,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462407.707344,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F48800,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462407.791157,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F48D00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462407.874558,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F49200,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462407.949300,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F49700,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462415.119205,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F66200,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462416.431953,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F6B100,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462417.354821,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F6E800,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462417.570062,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F6F500,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462417.976840,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F70D00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462418.440966,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F72900,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462420.706780,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7B000,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462420.776301,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7B400,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462420.863839,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7BA00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462420.955931,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7BF00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462421.030661,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7C400,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462421.113361,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7C900,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462421.198417,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7CE00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462421.288611,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7D300,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462421.375237,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7D900,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462421.449314,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7DD00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462421.525973,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7E100,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462421.613682,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7E700,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462421.700493,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7EC00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462421.782508,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7F100,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462421.873968,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7F600,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462421.947107,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7FA00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462422.031011,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F7FF00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462422.116969,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F80500,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462422.209722,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F80B00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462422.283406,P1-C2,Ryu,,,,0x809BFB50,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909377C0,0x90939080,0x90937E80,0x90937F80,0x908FA500,0x809BFBC0,0x90FCC740,0x01F80F00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,192,64,0,0,0
1760462423.940492,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F85600,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462426.241444,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F8DF00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462427.033240,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F90F00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462427.906651,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F94300,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462428.156322,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F95200,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462428.531013,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F96900,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462430.269281,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F9D000,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462430.352738,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F9D500,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462430.450033,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F9DB00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462430.552723,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F9E200,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462430.660847,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F9E800,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462430.768203,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F9EF00,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462430.855922,P2-C2,Ryu,,,,0x809C0070,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x01F9F400,0x00000000,0x00000000,0,0,0,48,18,64,192,128,128,128,0,224,0,0,0,0
1760462433.760118,P1-C1,Ken the Eagle,,,,0x809BF110,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x01FB0300,0x00000000,0x00000000,0,0,0,48,18,64,0,192,192,192,128,128,192,0,0,0
1760462436.112256,P1-C1,Ken the Eagle,,,,0x809BF110,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x01FB9000,0x00000000,0x00000000,0,0,0,48,18,64,0,192,192,192,128,128,192,0,0,0
1760462436.703662,P1-C1,Ken the Eagle,,,,0x809BF110,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x01FBB300,0x00000000,0x00000000,0,0,0,48,18,64,0,192,192,192,128,128,192,0,0,0
1760462437.308376,P1-C1,Ken the Eagle,,,,0x809BF110,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x01FBD800,0x00000000,0x00000000,0,0,0,48,18,64,0,192,192,192,128,128,192,0,0,0
1760462437.546402,P1-C1,Ken the Eagle,,,,0x809BF110,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x01FBE600,0x00000000,0x00000000,0,0,0,48,18,64,0,192,192,192,128,128,192,0,0,0
1760462437.919744,P1-C1,Ken the Eagle,,,,0x809BF110,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x01FBFD00,0x00000000,0x00000000,0,0,0,48,18,64,0,192,192,192,128,128,192,0,0,0
1760462439.651730,P1-C1,Ken the Eagle,,,,0x809BF110,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x01FC6300,0x00000000,0x00000000,0,0,0,48,18,64,0,192,192,192,128,128,192,0,0,0
1760462439.750478,P1-C1,Ken the Eagle,,,,0x809BF110,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x01FC6A00,0x00000000,0x00000000,0,0,0,48,18,64,0,192,192,192,128,128,192,0,0,0
1760462439.850965,P1-C1,Ken the Eagle,,,,0x809BF110,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x01FC6F00,0x00000000,0x00000000,0,0,0,48,18,64,0,192,192,192,128,128,192,0,0,0
1760462439.949812,P1-C1,Ken the Eagle,,,,0x809BF110,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x01FC7600,0x00000000,0x00000000,0,0,0,48,18,64,0,192,192,192,128,128,192,0,0,0
1760462440.049653,P1-C1,Ken the Eagle,,,,0x809BF110,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x01FC7C00,0x00000000,0x00000000,0,0,0,48,18,64,0,192,192,192,128,128,192,0,0,0
1760462440.158478,P1-C1,Ken the Eagle,,,,0x809BF110,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x01FC8200,0x00000000,0x00000000,0,0,0,48,18,64,0,192,192,192,128,128,192,0,0,0
1760462440.262310,P1-C1,Ken the Eagle,,,,0x809BF110,0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x01FC8900,0x00000000,0x00000000,0,0,0,48,18,64,0,192,192,192,128,128,192,0,0,0
