t,victim_label,victim_char,dmg,hp_before,hp_after,attacker_truth_label,attacker_truth_char,proof_mode,proof_details,attacker_gate_label,gate_scheme,gate_low_idx,learn_locked,learn_accuracy,learn_coverage,dist2,victim_ptr_hex,victim_gate020_hex
1760462407.949300,P2-C2,Ryu,364,32041,31677,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462415.119205,P1-C2,Ryu,2400,48000,45600,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462416.431953,P1-C2,Ryu,2400,45600,43200,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462417.354821,P1-C2,Ryu,800,43200,42400,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462417.570062,P1-C2,Ryu,1368,42400,41032,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462417.976840,P1-C2,Ryu,2232,41032,38800,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462418.440966,P1-C2,Ryu,1835,38800,36965,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462420.706780,P1-C2,Ryu,720,36965,36245,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462420.776301,P1-C2,Ryu,720,36245,35525,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462420.863839,P1-C2,Ryu,684,35525,34841,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462420.955931,P1-C2,Ryu,648,34841,34193,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462421.030661,P1-C2,Ryu,612,34193,33581,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462421.113361,P1-C2,Ryu,575,33581,33006,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462421.198417,P1-C2,Ryu,539,33006,32467,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462421.288611,P1-C2,Ryu,503,32467,31964,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462421.375237,P1-C2,Ryu,467,31964,31497,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462421.449314,P1-C2,Ryu,431,31497,31066,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462421.525973,P1-C2,Ryu,395,31066,30671,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462421.613682,P1-C2,Ryu,359,30671,30312,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462421.700493,P1-C2,Ryu,323,30312,29989,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462421.782508,P1-C2,Ryu,287,29989,29702,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462421.873968,P1-C2,Ryu,252,29702,29450,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462421.947107,P1-C2,Ryu,252,29450,29198,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462422.031011,P1-C2,Ryu,252,29198,28946,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462422.116969,P1-C2,Ryu,252,28946,28694,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462422.209722,P1-C2,Ryu,252,28694,28442,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462422.283406,P1-C2,Ryu,364,28442,28078,,,,,,,,no,,,,0x92B6BA00,0x809BFB50
1760462423.940492,P2-C2,Ryu,800,48000,47200,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462426.241444,P2-C2,Ryu,1024,47200,46176,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462427.033240,P2-C2,Ryu,1024,46176,45152,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462427.906651,P2-C2,Ryu,720,45152,44432,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462428.156322,P2-C2,Ryu,1216,44432,43216,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462428.531013,P2-C2,Ryu,2520,43216,40696,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462430.269281,P2-C2,Ryu,1309,40696,39387,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462430.352738,P2-C2,Ryu,1231,39387,38156,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462430.450033,P2-C2,Ryu,1154,38156,37002,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462430.552723,P2-C2,Ryu,1077,37002,35925,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462430.660847,P2-C2,Ryu,1000,35925,34925,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462430.768203,P2-C2,Ryu,923,34925,34002,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462430.855922,P2-C2,Ryu,846,34002,33156,,,,,,,,no,,,,0x92EEBA20,0x809C0070
1760462433.760118,P1-C1,Ken the Eagle,800,44000,43200,,,,,,,,no,,,,0x9246B9C0,0x809BF110
1760462436.112256,P1-C1,Ken the Eagle,1024,43200,42176,,,,,,,,no,,,,0x9246B9C0,0x809BF110
1760462436.703662,P1-C1,Ken the Eagle,1024,42176,41152,,,,,,,,no,,,,0x9246B9C0,0x809BF110
1760462437.308376,P1-C1,Ken the Eagle,720,41152,40432,,,,,,,,no,,,,0x9246B9C0,0x809BF110
1760462437.546402,P1-C1,Ken the Eagle,1216,40432,39216,,,,,,,,no,,,,0x9246B9C0,0x809BF110
1760462437.919744,P1-C1,Ken the Eagle,2520,39216,36696,,,,,,,,no,,,,0x9246B9C0,0x809BF110
1760462439.651730,P1-C1,Ken the Eagle,1309,36696,35387,,,,,,,,no,,,,0x9246B9C0,0x809BF110
1760462439.750478,P1-C1,Ken the Eagle,1231,35387,34156,,,,,,,,no,,,,0x9246B9C0,0x809BF110
1760462439.850965,P1-C1,Ken the Eagle,1154,34156,33002,,,,,,,,no,,,,0x9246B9C0,0x809BF110
1760462439.949812,P1-C1,Ken the Eagle,1077,33002,31925,,,,,,,,no,,,,0x9246B9C0,0x809BF110
1760462440.049653,P1-C1,Ken the Eagle,1000,31925,30925,,,,,,,,no,,,,0x9246B9C0,0x809BF110
1760462440.158478,P1-C1,Ken the Eagle,923,30925,30002,,,,,,,,no,,,,0x9246B9C0,0x809BF110
1760462440.262310,P1-C1,Ken the Eagle,846,30002,29156,,,,,,,,no,,,,0x9246B9C0,0x809BF110
