t,victim_label,victim_char,dmg,hp_before,hp_after,team_guess,attacker_label,attacker_char,attacker_id_dec,attacker_id_hex,attacker_move,dist2,victim_ptr_hex
1760732808.978466,P2-C1,Ryu,800,45300,44500,P1,P1-C1,Ryu,256,0x100,,7.381539731454723e-06,0x927EB9E0
1760732809.748747,P2-C1,Ryu,800,44500,43700,P1,P1-C1,Ryu,256,0x100,,7.01893702768075e-05,0x927EB9E0
1760732810.502389,P2-C1,Ryu,800,43700,42900,P1,P1-C1,Ryu,256,0x100,,0.00019439275098420694,0x927EB9E0
1760732811.263960,P2-C1,Ryu,800,42900,42100,,P1-C1,Ryu,256,0x100,,0.0003176671461915248,0x927EB9E0
1760732812.015996,P2-C1,Ryu,800,42100,41300,,P1-C1,Ryu,256,0x100,,7.01893702768075e-05,0x927EB9E0
1760732812.717676,P2-C1,Ryu,800,41300,40500,,P1-C1,Ryu,256,0x100,,0.000982559454090648,0x927EB9E0
1760732857.209086,P2-C1,Ryu,800,48000,47200,,P1-C1,Ryu,256,0x100,,0.002142897312808145,0x927EB9E0
1760732857.755922,P2-C1,Ryu,800,47200,46400,P1,P1-C1,Ryu,256,0x100,,0.0027536942668895392,0x927EB9E0
1760732858.206069,P2-C1,Ryu,1120,46400,45280,P1,P1-C1,Ryu,270,0x10e,,0.018604349502950868,0x927EB9E0
1760732858.421936,P2-C1,Ryu,1064,45280,44216,P1,P1-C1,Ryu,270,0x10e,,0.012852303616256222,0x927EB9E0
1760732883.950661,P2-C1,Ryu,1360,48000,46640,,P1-C1,Ryu,260,0x104,,0.4969497612342053,0x927EB9E0
1760732893.405134,P2-C1,Ryu,800,48000,47200,,P1-C1,Ryu,256,0x100,,0.0007551441900091049,0x927EB9E0
1760732893.627452,P2-C1,Ryu,1368,47200,45832,P1,P1-C1,Ryu,257,0x101,,0.012931411420197492,0x927EB9E0
1760732893.930606,P2-C1,Ryu,1224,45832,44608,P1,P1-C1,Ryu,260,0x104,,0.4225773036073974,0x927EB9E0
1760732894.328760,P2-C1,Ryu,2108,44608,42500,P1,P1-C1,Ryu,258,0x102,,0.004673599051617572,0x927EB9E0
1760732894.764305,P2-C1,Ryu,1919,42500,40581,P1,P1-C1,Ryu,261,0x105,,27.492004467076413,0x927EB9E0
1760732895.218395,P2-C1,Ryu,1663,40581,38918,,,,,,,-1.0,0x927EB9E0
1760732895.732935,P2-C1,Ryu,1971,38918,36947,P1,,,,,,-1.0,0x927EB9E0
1760732896.698184,P2-C1,Ryu,535,36947,36412,P1,,,,,,-1.0,0x927EB9E0
1760732896.935806,P2-C1,Ryu,507,36412,35905,P1,,,,,,-1.0,0x927EB9E0
1760732897.210522,P2-C1,Ryu,837,35905,35068,,,,,,,-1.0,0x927EB9E0
1760732897.602717,P2-C1,Ryu,1311,35068,33757,P1,,,,,,-1.0,0x927EB9E0
1760732898.072675,P2-C1,Ryu,1032,33757,32725,P1,,,,,,-1.0,0x927EB9E0
1760732899.169268,P2-C1,Ryu,800,32725,31925,P1,P1-C1,Ryu,256,0x100,,0.0003809762852711174,0x927EB9E0
1760732899.786434,P2-C1,Ryu,800,31925,31125,P1,P1-C1,Ryu,256,0x100,,7.201679386525939e-05,0x927EB9E0
1760732900.424498,P2-C1,Ryu,800,31125,30325,P1,P1-C1,Ryu,256,0x100,,0.00011112696398640765,0x927EB9E0
1760732900.982100,P2-C1,Ryu,800,30325,29525,,P1-C1,Ryu,256,0x100,,0.001232929527361648,0x927EB9E0
1760732901.495578,P2-C1,Ryu,800,29525,28725,,P1-C1,Ryu,256,0x100,,3.8735659032340664e-05,0x927EB9E0
1760732902.037476,P2-C1,Ryu,800,28725,27925,,P1-C1,Ryu,256,0x100,,0.001232929527361648,0x927EB9E0
1760732902.527266,P2-C1,Ryu,800,27925,27125,,P1-C1,Ryu,256,0x100,,7.425549307527035e-05,0x927EB9E0
1760732903.619196,P2-C1,Ryu,800,27125,26325,,P1-C1,Ryu,256,0x100,,0.0003176671461915248,0x927EB9E0
1760732904.176878,P2-C1,Ryu,800,26325,25525,P1,P1-C1,Ryu,256,0x100,,1.003195450266503e-06,0x927EB9E0
1760732904.788919,P2-C1,Ryu,800,25525,24725,P1,P1-C1,Ryu,256,0x100,,7.201679386525939e-05,0x927EB9E0
1760732905.322139,P2-C1,Ryu,800,24725,23925,P1,P1-C1,Ryu,256,0x100,,0.0027706126712701007,0x927EB9E0
1760732905.938323,P2-C1,Ryu,800,23925,23125,P1,P1-C1,Ryu,256,0x100,,7.201679386525939e-05,0x927EB9E0
1760732906.454495,P2-C1,Ryu,800,23125,22325,,P1-C1,Ryu,256,0x100,,7.425549307527035e-05,0x927EB9E0
1760732906.904425,P2-C1,Ryu,800,22325,21525,,P1-C1,Ryu,256,0x100,,0.004067319362391686,0x927EB9E0
1760732908.356287,P2-C1,Ryu,300,25025,25225,P1,P1-C1,Ryu,256,0x100,,7.01893702768075e-05,0x927EB9E0
1760732908.757742,P2-C1,Ryu,800,25225,24425,P1,P1-C1,Ryu,256,0x100,,0.0007039182583525871,0x927EB9E0
1760732909.183206,P2-C1,Ryu,800,24425,23625,P1,P1-C1,Ryu,256,0x100,,0.001232929527361648,0x927EB9E0
1760732910.056148,P2-C1,Ryu,800,23625,22825,,P1-C1,Ryu,256,0x100,,0.0005038406021071751,0x927EB9E0
1760732910.423528,P2-C1,Ryu,800,22825,22025,P1,P1-C1,Ryu,256,0x100,,0.005090166555774545,0x927EB9E0
1760732910.759197,P2-C1,Ryu,760,22025,21265,P1,P1-C1,Ryu,256,0x100,,0.004696127471589762,0x927EB9E0
1760732911.993894,P2-C1,Ryu,800,21265,20465,P1,P1-C1,Ryu,256,0x100,,1.4612003781167004e-05,0x927EB9E0
1760732912.420599,P2-C1,Ryu,800,20465,19665,,P1-C1,Ryu,256,0x100,,0.001232929527361648,0x927EB9E0
1760732912.735785,P2-C1,Ryu,760,19665,18905,,P1-C1,Ryu,256,0x100,,0.0010854775691768737,0x927EB9E0
1760732913.911077,P2-C1,Ryu,800,18905,18105,P1,P1-C1,Ryu,256,0x100,,0.00018344217460253276,0x927EB9E0
1760732914.147648,P2-C1,Ryu,760,18105,17345,,P1-C1,Ryu,256,0x100,,0.0003176671461915248,0x927EB9E0
1760732914.366619,P2-C1,Ryu,720,17345,16625,P1,P1-C1,Ryu,256,0x100,,0.00041351540700418354,0x927EB9E0
1760732915.430935,P2-C1,Ryu,800,16625,15825,P1,P1-C1,Ryu,256,0x100,,0.0006049737576176994,0x927EB9E0
1760732916.166357,P2-C1,Ryu,800,15825,15025,P1,P1-C1,Ryu,256,0x100,,0.0007741125409417293,0x927EB9E0
1760732916.733432,P2-C1,Ryu,800,15025,14225,P1,P1-C1,Ryu,256,0x100,,0.0027536942668895392,0x927EB9E0
1760732917.372626,P2-C1,Ryu,800,14225,13425,P1,P1-C1,Ryu,256,0x100,,0.00011112696398640765,0x927EB9E0
1760732917.988748,P2-C1,Ryu,800,13425,12625,P1,P1-C1,Ryu,256,0x100,,7.201679386525939e-05,0x927EB9E0
1760732918.549358,P2-C1,Ryu,800,12625,11825,,P1-C1,Ryu,256,0x100,,1.999230235583127e-06,0x927EB9E0
1760732919.102174,P2-C1,Ryu,640,11825,11185,,P1-C1,Ryu,256,0x100,,0.003550020840069834,0x927EB9E0
1760732921.045945,P2-C1,Ryu,4544,11185,6641,,,,,,,-1.0,0x927EB9E0
1760732922.043445,P2-C1,Ryu,3840,6641,2801,,,,,,,-1.0,0x927EB9E0
1760732922.984474,P2-C1,Ryu,4256,2801,1,,,,,,,-1.0,0x927EB9E0
1760732928.127524,P2-C1,Ryu,1792,1,1,P1,,,,,,-1.0,0x927EB9E0
1760732928.732495,P2-C1,Ryu,1176,1,1,P1,,,,,,-1.0,0x927EB9E0
1760732929.082132,P2-C1,Ryu,1117,1,1,,,,,,,-1.0,0x927EB9E0
1760732929.399107,P2-C1,Ryu,1058,1,1,P1,,,,,,-1.0,0x927EB9E0
1760732929.948309,P2-C1,Ryu,476,1,1,P1,P1-C1,Ryu,256,0x100,,0.05533194691034993,0x927EB9E0
1760732930.182848,P2-C1,Ryu,447,1,1,P1,P1-C1,Ryu,256,0x100,,0.0005817213516365882,0x927EB9E0
1760732930.488743,P2-C1,Ryu,755,1,1,P1,P1-C1,Ryu,257,0x101,,0.01204292406418972,0x927EB9E0
1760732932.193680,P2-C1,Ryu,1228,7001,5773,,P1-C1,Ryu,262,0x106,,0.01000410598932433,0x927EB9E0
1760732933.283616,P2-C1,Ryu,1512,5773,4261,,P1-C1,Ryu,262,0x106,,0.023803295289908988,0x927EB9E0
1760732933.819495,P2-C1,Ryu,1064,4261,3197,,,,,,,-1.0,0x927EB9E0
1760732934.152315,P2-C1,Ryu,1067,3197,2130,,,,,,,-1.0,0x927EB9E0
1760732934.488660,P2-C1,Ryu,1010,2130,1120,,,,,,,-1.0,0x927EB9E0
1760732934.808347,P2-C1,Ryu,952,1120,168,,,,,,,-1.0,0x927EB9E0
1760732936.337583,P2-C1,Ryu,560,168,1,P1,P1-C1,Ryu,256,0x100,,0.00045723470344682937,0x927EB9E0
1760732943.300682,P2-C1,Ryu,800,48000,47200,,P1-C1,Ryu,256,0x100,,0.001232929527361648,0x927EB9E0
1760732943.601682,P2-C1,Ryu,760,47200,46440,,P1-C1,Ryu,256,0x100,,0.0003176671461915248,0x927EB9E0
1760732944.367920,P2-C1,Ryu,800,46440,45640,,P1-C1,Ryu,256,0x100,,7.97536046093228e-06,0x927EB9E0
1760732944.593764,P2-C1,Ryu,760,45640,44880,P1,P1-C1,Ryu,256,0x100,,0.00041351540700418354,0x927EB9E0
1760732944.827733,P2-C1,Ryu,720,44880,44160,P1,P1-C1,Ryu,256,0x100,,0.0005817213516365882,0x927EB9E0
1760732945.645031,P2-C1,Ryu,800,44160,43360,,P1-C1,Ryu,256,0x100,,7.381539731454723e-06,0x927EB9E0
1760732945.865010,P2-C1,Ryu,760,43360,42600,P1,P1-C1,Ryu,256,0x100,,0.00041351540700418354,0x927EB9E0
1760732946.102515,P2-C1,Ryu,720,42600,41880,,P1-C1,Ryu,256,0x100,,0.00041351540700418354,0x927EB9E0
1760732946.838959,P2-C1,Ryu,800,41880,41080,P1,P1-C1,Ryu,256,0x100,,0.0003809762852711174,0x927EB9E0
1760732947.074701,P2-C1,Ryu,760,41080,40320,P1,P1-C1,Ryu,256,0x100,,0.00041351540700418354,0x927EB9E0
1760732947.315430,P2-C1,Ryu,720,40320,39600,,P1-C1,Ryu,256,0x100,,0.0003176671461915248,0x927EB9E0
1760732948.069881,P2-C1,Ryu,800,39600,38800,P1,P1-C1,Ryu,256,0x100,,7.01893702768075e-05,0x927EB9E0
1760732948.647638,P2-C1,Ryu,800,38800,38000,P1,P1-C1,Ryu,256,0x100,,1.3734275853494182e-05,0x927EB9E0
1760732949.228786,P2-C1,Ryu,800,38000,37200,P1,P1-C1,Ryu,256,0x100,,0.002753163171291817,0x927EB9E0
1760732949.804057,P2-C1,Ryu,800,37200,36400,P1,P1-C1,Ryu,256,0x100,,1.003195450266503e-06,0x927EB9E0
1760732950.366802,P2-C1,Ryu,800,36400,35600,,P1-C1,Ryu,256,0x100,,0.0003176671461915248,0x927EB9E0
1760732950.940177,P2-C1,Ryu,800,35600,34800,P1,P1-C1,Ryu,256,0x100,,1.3734275853494182e-05,0x927EB9E0
1760732951.544145,P2-C1,Ryu,800,34800,34000,,P1-C1,Ryu,256,0x100,,4.1375950573296905e-05,0x927EB9E0
1760732952.067949,P2-C1,Ryu,800,34000,33200,P1,P1-C1,Ryu,256,0x100,,0.002770525057101736,0x927EB9E0
1760732952.617229,P2-C1,Ryu,800,33200,32400,P1,P1-C1,Ryu,256,0x100,,0.0027571050471131286,0x927EB9E0
1760732953.218622,P2-C1,Ryu,800,32400,31600,P1,P1-C1,Ryu,256,0x100,,4.1375950573296905e-05,0x927EB9E0
1760732953.845597,P2-C1,Ryu,800,31600,30800,,P1-C1,Ryu,256,0x100,,7.201679386525939e-05,0x927EB9E0
1760732954.386159,P2-C1,Ryu,800,30800,30000,,P1-C1,Ryu,256,0x100,,0.001232929527361648,0x927EB9E0
1760732954.910162,P2-C1,Ryu,800,30000,29200,,P1-C1,Ryu,256,0x100,,1.4612003781167004e-05,0x927EB9E0
1760732955.491038,P2-C1,Ryu,800,29200,28400,P1,P1-C1,Ryu,256,0x100,,0.0027550103334306186,0x927EB9E0
1760732956.056269,P2-C1,Ryu,800,28400,27600,,P1-C1,Ryu,256,0x100,,1.999230235583127e-06,0x927EB9E0
1760732956.608931,P2-C1,Ryu,800,27600,26800,P1,P1-C1,Ryu,256,0x100,,0.0027557899049526213,0x927EB9E0
1760732957.152846,P2-C1,Ryu,800,26800,26000,P1,P1-C1,Ryu,256,0x100,,1.4612003781167004e-05,0x927EB9E0
1760732957.750284,P2-C1,Ryu,800,26000,25200,,P1-C1,Ryu,256,0x100,,0.0003176671461915248,0x927EB9E0
1760732958.370777,P2-C1,Ryu,800,25200,24400,,P1-C1,Ryu,256,0x100,,0.00011112696398640765,0x927EB9E0
1760732958.975110,P2-C1,Ryu,800,24400,23600,,P1-C1,Ryu,256,0x100,,0.00256960012947971,0x927EB9E0
1760732959.492567,P2-C1,Ryu,800,23600,22800,P1,P1-C1,Ryu,256,0x100,,0.002770950624679358,0x927EB9E0
1760732966.184148,P1-C1,Ryu,2560,48000,45440,P1,,,,,,-1.0,0x9246B9C0
1760732966.789606,P1-C1,Ryu,760,45440,44680,,P2-C1,Ryu,256,0x100,,0.0003176671461915248,0x9246B9C0
1760732966.990808,P1-C1,Ryu,648,44680,44032,,P2-C1,Ryu,259,0x103,,0.24766088888122795,0x9246B9C0
1760732967.206225,P1-C1,Ryu,1224,44032,42808,P1,P2-C1,Ryu,257,0x101,,0.07365548749618256,0x9246B9C0
1760732967.505559,P1-C1,Ryu,1087,42808,41721,P1,P2-C1,Ryu,260,0x104,,0.4225773036073974,0x9246B9C0
1760732967.838270,P1-C1,Ryu,1799,41721,39922,,P2-C1,Ryu,264,0x108,,0.01666270752161836,0x9246B9C0
1760732968.220093,P1-C1,Ryu,792,39922,39130,,,,,,,-1.0,0x9246B9C0
1760732968.441719,P1-C1,Ryu,851,39130,38279,,,,,,,-1.0,0x9246B9C0
1760732968.703381,P1-C1,Ryu,816,38279,37463,,,,,,,-1.0,0x9246B9C0
1760732968.968844,P1-C1,Ryu,835,37463,36628,,,,,,,-1.0,0x9246B9C0
1760732969.348360,P1-C1,Ryu,675,36628,35953,,,,,,,-1.0,0x9246B9C0
1760732969.738014,P1-C1,Ryu,1576,35953,34377,,,,,,,-1.0,0x9246B9C0
1760732971.340049,P1-C1,Ryu,287,34377,34090,,,,,,,-1.0,0x9246B9C0
1760732971.584965,P1-C1,Ryu,252,34090,33838,,,,,,,-1.0,0x9246B9C0
1760732971.701125,P1-C1,Ryu,252,33838,33586,,,,,,,-1.0,0x9246B9C0
1760732971.802667,P1-C1,Ryu,252,33586,33334,,,,,,,-1.0,0x9246B9C0
1760732971.901575,P1-C1,Ryu,252,33334,33082,,,,,,,-1.0,0x9246B9C0
1760732972.000844,P1-C1,Ryu,504,33082,32578,,,,,,,-1.0,0x9246B9C0
1760732972.105427,P1-C1,Ryu,252,32578,32326,,,,,,,-1.0,0x9246B9C0
1760732972.209587,P1-C1,Ryu,252,32326,32074,,,,,,,-1.0,0x9246B9C0
1760732972.309524,P1-C1,Ryu,252,32074,31822,,,,,,,-1.0,0x9246B9C0
1760732972.410418,P1-C1,Ryu,504,31822,31318,,,,,,,-1.0,0x9246B9C0
1760732972.511575,P1-C1,Ryu,252,31318,31066,,,,,,,-1.0,0x9246B9C0
1760732972.611107,P1-C1,Ryu,252,31066,30814,,,,,,,-1.0,0x9246B9C0
1760732972.725567,P1-C1,Ryu,252,30814,30562,,,,,,,-1.0,0x9246B9C0
1760732972.830194,P1-C1,Ryu,504,30562,30058,,,,,,,-1.0,0x9246B9C0
1760732972.924183,P1-C1,Ryu,364,30058,29694,,,,,,,-1.0,0x9246B9C0
1760732976.767340,P1-C1,Ryu,960,48000,47040,,,,,,,-1.0,0x9246B9C0
1760732977.096009,P1-C1,Ryu,760,47040,46280,,P2-C1,Ryu,256,0x100,,0.0003176671461915248,0x9246B9C0
1760732977.290483,P1-C1,Ryu,648,46280,45632,,P2-C1,Ryu,259,0x103,,0.246884576082266,0x9246B9C0
1760732977.512932,P1-C1,Ryu,1224,45632,44408,P2,P2-C1,Ryu,257,0x101,,0.07942892884115338,0x9246B9C0
1760732977.820503,P1-C1,Ryu,1087,44408,43321,,P2-C1,Ryu,260,0x104,,0.4225773036073974,0x9246B9C0
1760732978.231544,P1-C1,Ryu,1859,43321,41462,,P2-C2,Ken the Eagle,426,0x1aa,,0.03858468544889604,0x9246B9C0
1760732978.639450,P1-C1,Ryu,1679,41462,39783,,P2-C1,Ryu,261,0x105,,15.233367103048522,0x9246B9C0
1760732978.740968,P1-C1,Ryu,668,39783,39115,P2,,,,,,-1.0,0x9246B9C0
1760732979.093127,P1-C1,Ryu,1379,39115,37736,,,,,,,-1.0,0x9246B9C0
1760732979.585490,P1-C1,Ryu,904,37736,36832,P2,,,,,,-1.0,0x9246B9C0
1760732981.358479,P1-C1,Ryu,359,36832,36473,,,,,,,-1.0,0x9246B9C0
1760732981.456769,P1-C1,Ryu,323,36473,36150,,,,,,,-1.0,0x9246B9C0
1760732981.554976,P1-C1,Ryu,287,36150,35863,,,,,,,-1.0,0x9246B9C0
1760732981.655508,P1-C1,Ryu,252,35863,35611,,,,,,,-1.0,0x9246B9C0
1760732981.757603,P1-C1,Ryu,252,35611,35359,,,,,,,-1.0,0x9246B9C0
1760732981.863343,P1-C1,Ryu,504,35359,34855,,,,,,,-1.0,0x9246B9C0
1760732981.958205,P1-C1,Ryu,252,34855,34603,,,,,,,-1.0,0x9246B9C0
1760732982.060269,P1-C1,Ryu,252,34603,34351,,,,,,,-1.0,0x9246B9C0
1760732982.163329,P1-C1,Ryu,252,34351,34099,,,,,,,-1.0,0x9246B9C0
1760732982.265979,P1-C1,Ryu,252,34099,33847,,,,,,,-1.0,0x9246B9C0
1760732982.367858,P1-C1,Ryu,504,33847,33343,,,,,,,-1.0,0x9246B9C0
1760732982.472762,P1-C1,Ryu,252,33343,33091,,,,,,,-1.0,0x9246B9C0
1760732982.573621,P1-C1,Ryu,252,33091,32839,,,,,,,-1.0,0x9246B9C0
1760732982.676825,P1-C1,Ryu,252,32839,32587,,,,,,,-1.0,0x9246B9C0
1760732982.783527,P1-C1,Ryu,504,32587,32083,,,,,,,-1.0,0x9246B9C0
1760732982.886560,P1-C1,Ryu,252,32083,31831,,,,,,,-1.0,0x9246B9C0
1760732982.999219,P1-C1,Ryu,364,31831,31467,,,,,,,-1.0,0x9246B9C0
1760732986.038653,P1-C1,Ryu,2560,48000,45440,P2,,,,,,-1.0,0x9246B9C0
1760732986.475455,P1-C1,Ryu,684,45440,44756,P2,P2-C1,Ryu,259,0x103,,0.24766088888122795,0x9246B9C0
1760732986.689009,P1-C1,Ryu,1296,44756,43460,P2,P2-C1,Ryu,257,0x101,,0.07942892884115338,0x9246B9C0
1760732987.004937,P1-C1,Ryu,1156,43460,42304,,P2-C1,Ryu,260,0x104,,0.4969497612342053,0x9246B9C0
1760732987.391600,P1-C1,Ryu,1983,42304,40321,,P2-C1,Ryu,258,0x102,,0.004673599051617572,0x9246B9C0
1760732987.816479,P1-C1,Ryu,1799,40321,38522,,P2-C1,Ryu,261,0x105,,27.492004467076413,0x9246B9C0
1760732988.255050,P1-C1,Ryu,1552,38522,36970,P2,,,,,,-1.0,0x9246B9C0
1760732988.692327,P1-C1,Ryu,1637,36970,35333,P2,,,,,,-1.0,0x9246B9C0
1760732990.425498,P1-C1,Ryu,359,35333,34974,,,,,,,-1.0,0x9246B9C0
1760732990.655498,P1-C1,Ryu,1649,34974,33325,,,,,,,-1.0,0x9246B9C0
1760732990.903873,P1-C1,Ryu,1499,33325,31826,,,,,,,-1.0,0x9246B9C0
1760732993.930017,P1-C1,Ryu,2560,48000,45440,,,,,,,-1.0,0x9246B9C0
1760732994.380027,P1-C1,Ryu,760,45440,44680,,P2-C1,Ryu,256,0x100,,0.0003176671461915248,0x9246B9C0
1760732994.559653,P1-C1,Ryu,648,44680,44680,P2,P2-C1,Ryu,259,0x103,,0.246884576082266,0x9246B9C0
1760732994.650622,P1-C1,Ryu,648,44680,44032,,P2-C1,Ryu,257,0x101,,0.24766088888122795,0x9246B9C0
1760732994.813439,P1-C1,Ryu,1224,44032,42808,,P2-C1,Ryu,257,0x101,,0.01800323522049041,0x9246B9C0
1760732995.112926,P1-C1,Ryu,1087,42808,41721,,P2-C1,Ryu,260,0x104,,0.4969497612342053,0x9246B9C0
1760732995.500679,P1-C1,Ryu,1859,41721,39862,P2,P2-C1,Ryu,258,0x102,,0.0035942161921411753,0x9246B9C0
1760732995.918374,P1-C1,Ryu,1679,39862,38183,,P2-C1,Ryu,261,0x105,,21.190463952116488,0x9246B9C0
1760732996.369358,P1-C1,Ryu,1441,38183,36742,P2,,,,,,-1.0,0x9246B9C0
1760732996.914166,P1-C1,Ryu,1023,36742,35719,P2,,,,,,-1.0,0x9246B9C0
1760732998.684299,P1-C1,Ryu,395,35719,35324,,,,,,,-1.0,0x9246B9C0
1760732998.780072,P1-C1,Ryu,359,35324,34965,,,,,,,-1.0,0x9246B9C0
1760732998.882901,P1-C1,Ryu,323,34965,34642,,,,,,,-1.0,0x9246B9C0
1760732998.975616,P1-C1,Ryu,287,34642,34355,,,,,,,-1.0,0x9246B9C0
1760732999.070388,P1-C1,Ryu,252,34355,34103,,,,,,,-1.0,0x9246B9C0
1760732999.168264,P1-C1,Ryu,504,34103,33599,,,,,,,-1.0,0x9246B9C0
1760732999.265031,P1-C1,Ryu,252,33599,33347,,,,,,,-1.0,0x9246B9C0
1760732999.355597,P1-C1,Ryu,252,33347,33095,,,,,,,-1.0,0x9246B9C0
1760732999.451924,P1-C1,Ryu,252,33095,32843,,,,,,,-1.0,0x9246B9C0
1760732999.549421,P1-C1,Ryu,252,32843,32591,,,,,,,-1.0,0x9246B9C0
1760732999.642878,P1-C1,Ryu,252,32591,32339,,,,,,,-1.0,0x9246B9C0
1760732999.736089,P1-C1,Ryu,252,32339,32087,,,,,,,-1.0,0x9246B9C0
1760732999.844945,P1-C1,Ryu,504,32087,31583,,,,,,,-1.0,0x9246B9C0
1760732999.946357,P1-C1,Ryu,252,31583,31331,,,,,,,-1.0,0x9246B9C0
1760733000.049835,P1-C1,Ryu,252,31331,31079,,,,,,,-1.0,0x9246B9C0
1760733000.152899,P1-C1,Ryu,252,31079,30827,,,,,,,-1.0,0x9246B9C0
1760733000.253179,P1-C1,Ryu,364,30827,30211,,,,,,,-1.0,0x9246B9C0
1760733001.304413,P1-C1,Ryu,2160,30211,28051,,P2-C1,Ryu,262,0x106,,0.023803295289908988,0x9246B9C0
1760733002.269680,P1-C1,Ryu,800,28051,27251,,P2-C1,Ryu,256,0x100,,0.0012477856504142792,0x9246B9C0
1760733002.465016,P1-C1,Ryu,684,27251,26567,,P2-C1,Ryu,259,0x103,,0.2654758772890915,0x9246B9C0
1760733002.705037,P1-C1,Ryu,1296,26567,25271,,P2-C1,Ryu,257,0x101,,0.01800323522049041,0x9246B9C0
1760733003.009743,P1-C1,Ryu,1156,25271,24115,,P2-C1,Ryu,264,0x108,,0.4969497612342053,0x9246B9C0
1760733003.305282,P1-C1,Ryu,1919,24115,22196,P2,P2-C1,Ryu,264,0x108,,0.038279055200348466,0x9246B9C0
1760733003.684881,P1-C1,Ryu,849,22196,21347,,,,,,,-1.0,0x9246B9C0
1760733003.910948,P1-C1,Ryu,917,21347,20430,P2,,,,,,-1.0,0x9246B9C0
1760733004.159380,P1-C1,Ryu,884,20430,19546,P2,,,,,,-1.0,0x9246B9C0
1760733004.425783,P1-C1,Ryu,911,19546,18635,P2,,,,,,-1.0,0x9246B9C0
1760733004.806495,P1-C1,Ryu,743,18635,17892,P2,,,,,,-1.0,0x9246B9C0
1760733005.222659,P1-C1,Ryu,1752,17892,16140,,,,,,,-1.0,0x9246B9C0
1760733006.810883,P1-C1,Ryu,323,16140,15817,,,,,,,-1.0,0x9246B9C0
1760733007.044673,P1-C1,Ryu,287,15817,15530,,,,,,,-1.0,0x9246B9C0
1760733007.158836,P1-C1,Ryu,252,15530,15278,,,,,,,-1.0,0x9246B9C0
1760733007.271167,P1-C1,Ryu,252,15278,15026,,,,,,,-1.0,0x9246B9C0
1760733007.378878,P1-C1,Ryu,252,15026,14774,,,,,,,-1.0,0x9246B9C0
1760733007.480599,P1-C1,Ryu,504,14774,14270,,,,,,,-1.0,0x9246B9C0
1760733007.580541,P1-C1,Ryu,252,14270,14018,,,,,,,-1.0,0x9246B9C0
