t,victim_label,victim_char,dmg,notes,victim_gate020,gate020_child_dump
1760462641.393086,P1-C1,Ken the Eagle,1224,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022BA000,0x00000000,0x00000000]"
1760462641.794524,P1-C1,Ken the Eagle,2108,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022BB800,0x00000000,0x00000000]"
1760462642.191666,P1-C1,Ken the Eagle,1919,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022BD000,0x00000000,0x00000000]"
1760462642.655624,P1-C1,Ken the Eagle,1663,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022BEC00,0x00000000,0x00000000]"
1760462643.241880,P1-C1,Ken the Eagle,1971,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022C0C00,0x00000000,0x00000000]"
1760462644.170463,P1-C1,Ken the Eagle,530,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022C4600,0x00000000,0x00000000]"
1760462644.409809,P1-C1,Ken the Eagle,507,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022C5500,0x00000000,0x00000000]"
1760462644.647153,P1-C1,Ken the Eagle,465,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022C6400,0x00000000,0x00000000]"
1760462644.932165,P1-C1,Ken the Eagle,764,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022C7100,0x00000000,0x00000000]"
1760462645.357416,P1-C1,Ken the Eagle,1183,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022C8A00,0x00000000,0x00000000]"
1760462645.779832,P1-C1,Ken the Eagle,919,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022CA500,0x00000000,0x00000000]"
1760462646.309251,P1-C1,Ken the Eagle,481,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022CC500,0x00000000,0x00000000]"
1760462646.638407,P1-C1,Ken the Eagle,481,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022CD800,0x00000000,0x00000000]"
1760462646.979605,P1-C1,Ken the Eagle,482,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022CED00,0x00000000,0x00000000]"
1760462647.303857,P1-C1,Ken the Eagle,483,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022D0000,0x00000000,0x00000000]"
1760462648.927598,P1-C1,Ken the Eagle,576,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022D6200,0x00000000,0x00000000]"
1760462649.182890,P1-C1,Ken the Eagle,547,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022D7100,0x00000000,0x00000000]"
1760462650.010322,P1-C1,Ken the Eagle,640,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022DA300,0x00000000,0x00000000]"
1760462650.762524,P1-C1,Ken the Eagle,640,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022DD000,0x00000000,0x00000000]"
1760462651.591709,P1-C1,Ken the Eagle,640,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022E0200,0x00000000,0x00000000]"
1760462652.285871,P1-C1,Ken the Eagle,640,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022E2B00,0x00000000,0x00000000]"
1760462652.941973,P1-C1,Ken the Eagle,560,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022E5300,0x00000000,0x00000000]"
1760462653.532215,P1-C1,Ken the Eagle,560,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022E7600,0x00000000,0x00000000]"
1760462654.187230,P1-C1,Ken the Eagle,560,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022E9D00,0x00000000,0x00000000]"
1760462654.790757,P1-C1,Ken the Eagle,560,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022EC100,0x00000000,0x00000000]"
1760462655.336686,P1-C1,Ken the Eagle,560,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022EE200,0x00000000,0x00000000]"
1760462655.907807,P1-C1,Ken the Eagle,560,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022F0500,0x00000000,0x00000000]"
1760462656.464082,P1-C1,Ken the Eagle,560,no proof & gate not locked/usable,0x809BF110,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x908DB400,0x908DCCC0,0x908DBAC0,0x908DBBC0,0x90896580,0x809BF180,0x90FBEFC0,0x022F2600,0x00000000,0x00000000]"
1760462664.562672,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x0230AA00,0x00000000,0x00000000]"
1760462667.512032,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02315B00,0x00000000,0x00000000]"
1760462668.278037,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02318900,0x00000000,0x00000000]"
1760462670.244752,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x0231FF00,0x00000000,0x00000000]"
1760462670.759127,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02321E00,0x00000000,0x00000000]"
1760462671.224249,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02323A00,0x00000000,0x00000000]"
1760462672.262487,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02327800,0x00000000,0x00000000]"
1760462672.710468,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02329300,0x00000000,0x00000000]"
1760462673.107650,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x0232AA00,0x00000000,0x00000000]"
1760462674.396375,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x0232F800,0x00000000,0x00000000]"
1760462674.614062,P2-C2,Ryu,760,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02330500,0x00000000,0x00000000]"
1760462675.285076,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02332D00,0x00000000,0x00000000]"
1760462675.518128,P2-C2,Ryu,760,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02333B00,0x00000000,0x00000000]"
1760462675.755867,P2-C2,Ryu,1296,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02334900,0x00000000,0x00000000]"
1760462676.745719,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02338500,0x00000000,0x00000000]"
1760462676.979949,P2-C2,Ryu,760,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02339300,0x00000000,0x00000000]"
1760462677.201028,P2-C2,Ryu,720,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x0233A000,0x00000000,0x00000000]"
1760462678.035920,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x0233D200,0x00000000,0x00000000]"
1760462678.289124,P2-C2,Ryu,760,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x0233E100,0x00000000,0x00000000]"
1760462678.502365,P2-C2,Ryu,720,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x0233EE00,0x00000000,0x00000000]"
1760462679.403868,P2-C2,Ryu,800,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02342400,0x00000000,0x00000000]"
1760462679.638239,P2-C2,Ryu,760,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02343200,0x00000000,0x00000000]"
1760462679.881233,P2-C2,Ryu,720,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02344000,0x00000000,0x00000000]"
1760462680.115186,P2-C2,Ryu,1224,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02344F00,0x00000000,0x00000000]"
1760462680.508827,P2-C2,Ryu,1983,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02346600,0x00000000,0x00000000]"
1760462680.974515,P2-C2,Ryu,1619,no proof & gate not locked/usable,0x809C0070,"[0x00000000,0x00000000,0x00000000,0x00000630,0x00000012,0x00400040,0x909504C0,0x90951D80,0x90950B80,0x90950C80,0x908FA500,0x809C00E0,0x90FD3300,0x02348200,0x00000000,0x00000000]"
